# CORDEX Availability Matrix 
# dynamically retrieved from ESGF at 
# Timestamp: 2014-04-11 09:44:37

# Domain                   Model         Driving Model 
# --------------------------------------------------------
#                   --------------------------------------
EUR-44                   RCA4           NCC-NorESM1-M  
EUR-44                   RCA4           NOAA-GFDL-GFDL-ESM2M
#                   --------------------------------------
EUR-44                   WRF331F        IPSL-IPSL-CM5A-MR
#                   --------------------------------------
EUR-44                   WRF331G        ECMWF-ERAINT   
# --------------------------------------------------------
#                   --------------------------------------
EUR-44i                  ALADIN52       ECMWF-ERAINT   
#                   --------------------------------------
EUR-44i                  HIRHAM5        ECMWF-ERAINT   
EUR-44i                  HIRHAM5        ICHEC-EC-EARTH 
#                   --------------------------------------
EUR-44i                  HadRM3P        ECMWF-ERAINT   
#                   --------------------------------------
EUR-44i                  RACMO22E       ECMWF-ERAINT   
EUR-44i                  RACMO22E       ICHEC-EC-EARTH 
#                   --------------------------------------
EUR-44i                  RCA4           CCCma-CanESM2  
EUR-44i                  RCA4           CNRM-CERFACS-CNRM-CM5
EUR-44i                  RCA4           ECMWF-ERAINT   
EUR-44i                  RCA4           ICHEC-EC-EARTH 
EUR-44i                  RCA4           IPSL-IPSL-CM5A-MR
EUR-44i                  RCA4           MIROC-MIROC5   
EUR-44i                  RCA4           MOHC-HadGEM2-ES
EUR-44i                  RCA4           MPI-M-MPI-ESM-LR
EUR-44i                  RCA4           NCC-NorESM1-M  
EUR-44i                  RCA4           NOAA-GFDL-GFDL-ESM2M
# --------------------------------------------------------
#                   --------------------------------------
MNA-22                   RCA4           ECMWF-ERAINT   
MNA-22                   RCA4           ICHEC-EC-EARTH 
MNA-22                   RCA4           NOAA-GFDL-GFDL-ESM2M
# --------------------------------------------------------
#                   --------------------------------------
MNA-22i                  RCA4           ECMWF-ERAINT   
MNA-22i                  RCA4           ICHEC-EC-EARTH 
MNA-22i                  RCA4           NOAA-GFDL-GFDL-ESM2M
# --------------------------------------------------------
#                   --------------------------------------
MNA-44                   RCA4           CNRM-CERFACS-CNRM-CM5
MNA-44                   RCA4           ECMWF-ERAINT   
MNA-44                   RCA4           ICHEC-EC-EARTH 
MNA-44                   RCA4           NOAA-GFDL-GFDL-ESM2M
# --------------------------------------------------------
#                   --------------------------------------
MNA-44i                  RCA4           CNRM-CERFACS-CNRM-CM5
MNA-44i                  RCA4           ECMWF-ERAINT   
MNA-44i                  RCA4           ICHEC-EC-EARTH 
MNA-44i                  RCA4           NOAA-GFDL-GFDL-ESM2M
# --------------------------------------------------------
#                   --------------------------------------
NAM-44                   HIRHAM5        ECMWF-ERAINT   
NAM-44                   HIRHAM5        ICHEC-EC-EARTH 
#                   --------------------------------------
NAM-44                   RCA4           CCCma-CanESM2  
NAM-44                   RCA4           ECMWF-ERAINT   
NAM-44                   RCA4           ICHEC-EC-EARTH 
# --------------------------------------------------------
#                   --------------------------------------
NAM-44i                  HIRHAM5        ECMWF-ERAINT   
NAM-44i                  HIRHAM5        ICHEC-EC-EARTH 
#                   --------------------------------------
NAM-44i                  RCA4           CCCma-CanESM2  
NAM-44i                  RCA4           ECMWF-ERAINT   
NAM-44i                  RCA4           ICHEC-EC-EARTH 
# --------------------------------------------------------
#                   --------------------------------------
SAM-44                   RCA4           ECMWF-ERAINT   
SAM-44                   RCA4           ICHEC-EC-EARTH 
# --------------------------------------------------------
#                   --------------------------------------
SAM-44i                  RCA4           ECMWF-ERAINT   
SAM-44i                  RCA4           ICHEC-EC-EARTH 
# --------------------------------------------------------
#                   --------------------------------------
WAS-44                   RCA4           ECMWF-ERAINT   
WAS-44                   RCA4           ICHEC-EC-EARTH 
# --------------------------------------------------------
#                   --------------------------------------
WAS-44i                  RCA4           ECMWF-ERAINT   
WAS-44i                  RCA4           ICHEC-EC-EARTH 
